Id,SalePrice
1461,129219
1462,162963
1463,187575
1464,191492
1465,206535
1466,185915
1467,163355
1468,174380
1469,176499
1470,121504
1471,180886
1472,96128
1473,102053
1474,154843
1475,143199
1476,396337
1477,256254
1478,316745
1479,282429
1480,468211
1481,322524
1482,214196
1483,175398
1484,168526
1485,174763
1486,207999
1487,342275
1488,245739
1489,179316
1490,199137
1491,202114
1492,97445
1493,174932
1494,314955
1495,309943
1496,218681
1497,195966
1498,157186
1499,156541
1500,147734
1501,167090
1502,163990
1503,289060
1504,249039
1505,213013
1506,195053
1507,223097
1508,206923
1509,170992
1510,149234
1511,148130
1512,181892
1513,158680
1514,166139
1515,193034
1516,164184
1517,148665
1518,131037
1519,208021
1520,133537
1521,139482
1522,175627
1523,121376
1524,121834
1525,126728
1526,123928
1527,102567
1528,129220
1529,140203
1530,178768
1531,132247
1532,111299
1533,152485
1534,119049
1535,167707
1536,116505
1537,75673
1538,187258
1539,262518
1540,118651
1541,155458
1542,146468
1543,222962
1544,85950
1545,113013
1546,127583
1547,148784
1548,144972
1549,114922
1550,148406
1551,122349
1552,154139
1553,144994
1554,124453
1555,174592
1556,100353
1557,146943
1558,95091
1559,121042
1560,158464
1561,161552
1562,127034
1563,127699
1564,174410
1565,156595
1566,206505
1567,81199
1568,225625
1569,148075
1570,124467
1571,139777
1572,136965
1573,228865
1574,122653
1575,213774
1576,222974
1577,178420
1578,156030
1579,142358
1580,204617
1581,137614
1582,132735
1583,348716
1584,247305
1585,136245
1586,72656
1587,105290
1588,149443
1589,106798
1590,137431
1591,106585
1592,130635
1593,120761
1594,141677
1595,128631
1596,246819
1597,162716
1598,195275
1599,217696
1600,196161
1601,82693
1602,116899
1603,98379
1604,290677
1605,264911
1606,169360
1607,166858
1608,189452
1609,172786
1610,160753
1611,142619
1612,160703
1613,156417
1614,120441
1615,93869
1616,88694
1617,96212
1618,129198
1619,129185
1620,151309
1621,144265
1622,161115
1623,304792
1624,216932
1625,130599
1626,177566
1627,194177
1628,302462
1629,189058
1630,355646
1631,225867
1632,248484
1633,171092
1634,188488
1635,186093
1636,157084
1637,177169
1638,230346
1639,185072
1640,250204
1641,196284
1642,231349
1643,243177
1644,236411
1645,194011
1646,152764
1647,166027
1648,139613
1649,138215
1650,123494
1651,121499
1652,94439
1653,98784
1654,156690
1655,157752
1656,151292
1657,152991
1658,156724
1659,145696
1660,143397
1661,440594
1662,406761
1663,389626
1664,462545
1665,324485
1666,340326
1667,361630
1668,337844
1669,312904
1670,342498
1671,276054
1672,455747
1673,306129
1674,260940
1675,183582
1676,181542
1677,186206
1678,471265
1679,371904
1680,334753
1681,276415
1682,301763
1683,179512
1684,172597
1685,177596
1686,162805
1687,169075
1688,196655
1689,187508
1690,181849
1691,174446
1692,275035
1693,172649
1694,185814
1695,171579
1696,268334
1697,171517
1698,348149
1699,339239
1700,249514
1701,283311
1702,257956
1703,256084
1704,296081
1705,231523
1706,471272
1707,187886
1708,186881
1709,286695
1710,230370
1711,277611
1712,261743
1713,261368
1714,232520
1715,206216
1716,171883
1717,166270
1718,137444
1719,228430
1720,258538
1721,167118
1722,129905
1723,150898
1724,192077
1725,244315
1726,186079
1727,167108
1728,183519
1729,171553
1730,171647
1731,122483
1732,135399
1733,130148
1734,131630
1735,131522
1736,119910
1737,368942
1738,226514
1739,265700
1740,184220
1741,169497
1742,165864
1743,172625
1744,315388
1745,244055
1746,274500
1747,231387
1748,209141
1749,169645
1750,145640
1751,245901
1752,128098
1753,141297
1754,232673
1755,174713
1756,122596
1757,124958
1758,166204
1759,176869
1760,164691
1761,156536
1762,179719
1763,184988
1764,117622
1765,182731
1766,184207
1767,198415
1768,134298
1769,178554
1770,134873
1771,132868
1772,143591
1773,135086
1774,134821
1775,128058
1776,122282
1777,120729
1778,126834
1779,121826
1780,180005
1781,130521
1782,101861
1783,142783
1784,99444
1785,117398
1786,158433
1787,184458
1788,66008
1789,95316
1790,91222
1791,182067
1792,156765
1793,136469
1794,139668
1795,131657
1796,122979
1797,119049
1798,123845
1799,119353
1800,128166
1801,131077
1802,152054
1803,161031
1804,143066
1805,135279
1806,129785
1807,166220
1808,131016
1809,127016
1810,152046
1811,120675
1812,121838
1813,140497
1814,104610
1815,67024
1816,104239
1817,126884
1818,147437
1819,126484
1820,85332
1821,128268
1822,154194
1823,63904
1824,145065
1825,139116
1826,111036
1827,108908
1828,141500
1829,116334
1830,154010
1831,196256
1832,112243
1833,165814
1834,138358
1835,186534
1836,132735
1837,108693
1838,147879
1839,89225
1840,153223
1841,142814
1842,94270
1843,137871
1844,136715
1845,141659
1846,142326
1847,148437
1848,66564
1849,129106
1850,122408
1851,167805
1852,124228
1853,134389
1854,170730
1855,164811
1856,240797
1857,164754
1858,138863
1859,123301
1860,152956
1861,123238
1862,269610
1863,266452
1864,266442
1865,335476
1866,334956
1867,244349
1868,315091
1869,178066
1870,247811
1871,261428
1872,177864
1873,235045
1874,138316
1875,202979
1876,195885
1877,204853
1878,208497
1879,129816
1880,137537
1881,254938
1882,269182
1883,209386
1884,232477
1885,259952
1886,313106
1887,197509
1888,292341
1889,176506
1890,127367
1891,137551
1892,111936
1893,158755
1894,130537
1895,156500
1896,141248
1897,122930
1898,115899
1899,135627
1900,154344
1901,170696
1902,130587
1903,227761
1904,131833
1905,181716
1906,154231
1907,203848
1908,110928
1909,134136
1910,124148
1911,196033
1912,262315
1913,146750
1914,63880
1915,329336
1916,73618
1917,264674
1918,136849
1919,169444
1920,146577
1921,411601
1922,337714
1923,215966
1924,242249
1925,239091
1926,397657
1927,134151
1928,164054
1929,127468
1930,128522
1931,139441
1932,145441
1933,182992
1934,186875
1935,176909
1936,194359
1937,184112
1938,166779
1939,255225
1940,207479
1941,182596
1942,196017
1943,209107
1944,333499
1945,380883
1946,162461
1947,315723
1948,173264
1949,262283
1950,172761
1951,270886
1952,248560
1953,161322
1954,218451
1955,146068
1956,282110
1957,160102
1958,323303
1959,139839
1960,118670
1961,122490
1962,97231
1963,106132
1964,131012
1965,155586
1966,158477
1967,296915
1968,408790
1969,391986
1970,444759
1971,448959
1972,372364
1973,279904
1974,322713
1975,471240
1976,286058
1977,368881
1978,363225
1979,347074
1980,184772
1981,353068
1982,234823
1983,223531
1984,182858
1985,197051
1986,200599
1987,169541
1988,180045
1989,204837
1990,235500
1991,185558
1992,231701
1993,174456
1994,252387
1995,194639
1996,282245
1997,356012
1998,361627
1999,256338
2000,323544
2001,276099
2002,240594
2003,271055
2004,283194
