Id,SalePrice
1461,130192.59600000005
1462,161850.368
1463,185117.948
1464,189560.25900000002
1465,204878.30799999996
1466,184900.39800000002
1467,163223.94600000005
1468,175070.799
1469,177970.027
1470,121406.45800000007
1471,179847.071
1472,94749.04400000029
1473,100426.06600000043
1474,154425.66599999997
1475,144385.686
1476,393400.18699999945
1477,256364.85799999983
1478,316353.31899999996
1479,283663.6340000001
1480,484030.33599999885
1481,324677.2829999998
1482,214447.21799999988
1483,174813.663
1484,168124.16200000004
1485,174859.063
1486,207443.69400000002
1487,340734.544
1488,244467.56500000003
1489,179135.355
1490,200080.891
1491,204119.71399999992
1492,98893.72400000003
1493,176006.96899999998
1494,315877.142
1495,308783.6199999999
1496,216243.05099999992
1497,195201.011
1498,157557.05899999995
1499,156981.96299999996
1500,146372.33100000003
1501,167342.50499999998
1502,163031.38999999996
1503,289736.19800000015
1504,248141.41500000015
1505,214670.63699999993
1506,194762.23599999995
1507,221819.1350000002
1508,206970.87799999997
1509,171961.803
1510,148644.35800000004
1511,148148.8170000001
1512,181437.289
1513,159348.899
1514,165608.29699999996
1515,194870.655
1516,164605.30500000002
1517,149677.80599999992
1518,130516.52099999996
1519,210029.48899999997
1520,135853.09
1521,140268.11399999997
1522,175350.815
1523,120280.46799999996
1524,122824.85999999999
1525,127084.96900000007
1526,124559.091
1527,103107.464
1528,129148.45600000006
1529,140575.91700000002
1530,178971.11
1531,133179.01100000003
1532,111353.96099999994
1533,153111.228
1534,118974.91200000004
1535,168434.62099999998
1536,117894.24200000009
1537,76672.767
1538,186435.707
1539,260683.1540000001
1540,117835.46600000004
1541,157507.076
1542,145609.09099999984
1543,224587.93999999997
1544,86760.23100000012
1545,111852.88800000017
1546,126190.16
1547,148526.23199999984
1548,143516.0249999998
1549,114671.34700000001
1550,147347.59599999996
1551,121303.76900000003
1552,154386.57700000008
1553,145813.587
1554,124447.79700000006
1555,173354.441
1556,101598.48200000012
1557,145612.24600000007
1558,96646.42899999995
1559,119439.416
1560,157928.04100000003
1561,160210.62699999995
1562,128340.05200000001
1563,128259.20499999999
1564,173568.476
1565,156856.34999999995
1566,208429.12799999994
1567,81079.39900000021
1568,223669.1960000001
1569,149720.13499999998
1570,125136.78200000008
1571,139575.95799999987
1572,138249.0560000001
1573,228536.67599999998
1574,125629.73000000004
1575,217734.6549999999
1576,223090.90700000004
1577,179023.377
1578,157825.38500000007
1579,141375.33399999986
1580,205794.91199999992
1581,136738.62999999992
1582,133730.70899999994
1583,346126.7339999998
1584,247668.99600000022
1585,136347.60599999977
1586,72044.2730000001
1587,105236.94400000008
1588,147788.9320000001
1589,107337.07700000031
1590,137728.875
1591,106427.40499999987
1592,130781.286
1593,122711.87000000004
1594,140901.0910000001
1595,126875.05700000004
1596,246601.898
1597,163609.89699999997
1598,196144.633
1599,216535.3120000001
1600,194851.40799999994
1601,81025.32100000037
1602,116913.66300000006
1603,97691.71800000008
1604,291483.4130000009
1605,264885.84299999994
1606,170470.60800000004
1607,167508.51299999998
1608,191960.21300000005
1609,173444.55800000002
1610,159693.386
1611,142745.48599999995
1612,159854.14
1613,155106.03499999997
1614,120349.07500000004
1615,92979.91700000019
1616,88794.08400000031
1617,94461.92700000036
1618,129158.62299999992
1619,129468.809
1620,150901.45700000017
1621,143397.6929999999
1622,160418.21999999997
1623,304218.79400000046
1624,215870.097
1625,130063.43699999996
1626,179688.622
1627,192037.993
1628,303860.827
1629,188071.43899999998
1630,354219.42400000023
1631,223170.29200000002
1632,247710.53799999994
1633,170419.448
1634,187450.885
1635,184737.407
1636,155712.99300000005
1637,178984.48
1638,233007.41000000003
1639,185357.286
1640,250184.78300000014
1641,194801.90099999998
1642,230990.94600000008
1643,241958.4650000002
1644,236363.36800000016
1645,192520.383
1646,152804.99499999997
1647,168376.767
1648,139698.39799999993
1649,138915.5579999999
1650,122769.94000000009
1651,121276.13799999998
1652,93028.18600000038
1653,97891.3440000003
1654,157008.15999999995
1655,159306.73099999994
1656,151483.23000000007
1657,153426.90999999995
1658,156703.86199999996
1659,146164.44399999993
1660,143892.74799999993
1661,453900.59899999946
1662,403480.1039999996
1663,386261.9109999995
1664,459996.73199999915
1665,323412.48699999996
1666,343954.949
1667,361001.5759999997
